,title,index,docs,refs,cites
0,Ca-A Cancer Journal for Clinicians,182,121,4006,17959
1,Nature Reviews Molecular Cell Biology,452,338,9025,13797
2,Quarterly Journal of Economics,272,111,3406,2241
3,Cell,814,1727,33658,73240
4,MMWR Recommendations and Reports,148,17,2900,663
5,New England Journal of Medicine,1079,4498,14767,143343
6,Nature Medicine,576,1161,12511,39532
7,Nature Reviews Materials,131,259,13153,10691
8,Proceedings of the IEEE International Conference on Computer Vision,280,1077,18276,23631
9,Nature Reviews Genetics,384,323,8119,8039
10,National Vital Statistics Reports,110,40,323,1377
11,Reviews of Modern Physics,352,117,13799,6208
12,American Economic Review,312,352,7137,4155
13,Nature Biotechnology,463,1045,8202,21007
14,Chemical Reviews,745,718,153694,45616
15,Journal of Political Economy,197,245,4421,2453
16,Nature,1276,8299,54378,160609
17,Annual Review of Immunology,309,85,5949,2917
18,Administrative Science Quarterly,191,89,3592,1116
19,Nature Reviews Immunology,417,515,12280,15554
20,Nature Reviews Cancer,462,337,9854,9442
21,Nature Energy,160,632,6619,17706
22,Nature Genetics,597,670,10867,16586
23,Morbidity and Mortality Weekly Report,228,1081,1439,20212
24,Journal of Finance,317,217,4143,1936
25,"Lancet, The",807,4587,22640,85917
26,Review of Economic Studies,148,210,3387,1512
27,Academy of Management Annals,82,80,4228,1745
28,Science,1229,9322,47391,143184
29,Chemical Society Reviews,552,791,93782,41766
30,Immunity,417,721,14887,18849
31,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,408,3743,86211,109427
32,IEEE Communications Surveys and Tutorials,216,345,16396,13574
33,"Lancet Microbe, The",19,93,2231,1541
34,Foundations and Trends in Machine Learning,36,13,1410,503
35,Econometrica,205,214,3635,1349
36,Annual Review of Biochemistry,305,102,4872,2793
37,Physiological Reviews,358,139,8836,6380
38,World Psychiatry,109,291,3479,3918
39,Nature Catalysis,84,506,6041,12720
40,Annual Review of Astronomy and Astrophysics,192,50,2858,1638
41,Living Reviews in Relativity,88,17,1467,684
42,Nature Materials,507,784,11394,19224
43,Nature Methods,339,1064,8453,13951
44,Nature Neuroscience,437,651,9775,13401
45,Science immunology,73,344,9559,6826
46,Nature Reviews Chemistry,67,231,8014,4454
47,Nature Reviews Clinical Oncology,176,515,8334,9663
48,"Lancet Oncology, The",355,1613,7651,20120
49,Nature Nanotechnology,368,709,9453,16783
50,"Lancet Neurology, The",315,792,4508,11413
51,Review of Financial Studies,203,366,9371,3072
52,Energy and Environmental Science,376,910,41592,33154
53,"Lancet Public Health, The",62,476,3820,7124
54,Nature Reviews Drug Discovery,348,684,7551,11388
55,"Lancet Respiratory Medicine,The",138,877,5593,12698
56,Nature Photonics,339,569,5637,11909
57,Academy of Management Journal,336,237,7659,3048
58,Joule,120,754,13150,20918
59,Journal of Financial Economics,273,401,16440,3747
60,"Lancet Infectious Diseases, The",255,1399,8008,18712
